"Year"	"Series"	"Volume"	"Part"	"Group"	"Numbers"	"Matter"	"Status"	"Source"
1923	"n.s."	20	"1"	1	"1–125"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopy201libr"
1924	"n.s."	21	"1"	1	"1–135"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig211libr"
1925	"n.s."	22	"1"	1	"1–131"	"Books"	""	"https://archive.org/details/catalogofcopyrig221libr"
1926	"n.s."	23	"1"	1	"1–128"	"Books"	""	"https://archive.org/details/catalogofcopyrig231libr"
1927	"n.s."	24	"1"	1	"1–148"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig241libr"
1928	"n.s."	25	"1"	1	"1–152"	"Books"	"Some corrections"	"https://archive.org/details/catalogofcopyrig251libr"
1929	"n.s."	26	"1"	1	"1–153"	"Books"	"Some corrections"	"https://archive.org/details/catalogofcopyrig261libr"
1930	"n.s."	27	"1"	1	"1–155"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyri271libr"
1931	"n.s."	28	"1"	1	"1–152"	"Books"	"Some corrections"	"https://archive.org/details/catalogofcopyri281libr"
1932	"n.s."	29	"1"	1	"1–153"	"Books"	""	"https://archive.org/details/catalogofcopyrig291libr"
1933	"n.s."	30	"1"	1	"1–147"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig301libr"
1934	"n.s."	31	"1"	1	"1–155"	"Books"	"Some corrections"	"https://archive.org/stream/catalogueofcopy311libr"
1935	"n.s."	32	"1"	1	"1–155"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyri321libr"
1936	"n.s."	33	"1"	1	"1–153"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyri331lib"
1937	"n.s."	34	"1"	1	"1–112"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig341lib"
1938	"n.s."	35	"1"	1	"1–12"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig351lib"
1939	"n.s."	36	"1"	1	"1–12"	"Books"	""	"https://archive.org/stream/catalogofcopyri361lib"
1940	"n.s."	37	"1"	1	"1–12"	"Books"	""	"https://archive.org/stream/catalogofcopyri371lib"
1941	"n.s."	38	"1"	1	"1–12"	"Books"	""	"https://archive.org/stream/catalogofcopyri38lib"
1942	"n.s."	39	"1"	1	"1–12"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig391li"
1943	"n.s."	40	"1"	1	"1–12"	"Books"	""	"https://archive.org/stream/catalogofcopyrig40libr"
1944	"n.s."	41	"1"	1	"1–12"	"Books"	""	"https://archive.org/stream/catalogofcopyrig41lib"
1945	"n.s."	42	"1"	1	"1–12"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig42libr"
1946	"n.s."	43	"1"	1	""	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig431unse"
1947	"3rd s."	1	"1A"	""	"1–2"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig311libr"
1948	"3rd s."	2	"1A"	""	"1–2"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig321libr"
1949	"3rd s."	3	"1A"	""	"1–2"	"Books"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig331lib"
1950	"3rd s."	4	"1A"	""	"1–2"	"Books"	""	"https://archive.org/stream/catalogofcopyrig341libr"
1951	"3rd s."	5	"1A"	""	"1–2"	"Books"	""	"https://archive.org/stream/catalogofcopyri351libr"
1952	"3rd s."	6	"1A"	""	"1–2"	"Books"	""	"https://archive.org/stream/catalogofcopyri361libr"
1953	"3rd s."	7	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig371li"
1953	"3rd s."	7	"1A"	""	"1"	"Books"	""	"https://archive.org/stream/catalogofcopyrig371lib"
1954	"3rd s."	8	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig381lib"
1954	"3rd s."	8	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig381libr"
1955	"3rd s."	9	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig391lib"
1955	"3rd s."	9	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig391libr"
1956	"3rd s."	10	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig3101lib"
1956	"3rd s."	10	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3101libr"
1957	"3rd s."	11	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig3111lib"
1957	"3rd s."	11	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3111libr"
1958	"3rd s."	12	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3121lib"
1958	"3rd s."	12	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3121libr"
1959	"3rd s."	13	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3131libr"
1959	"3rd s."	13	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3131lib"
1960	"3rd s."	14	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3141lib"
1960	"3rd s."	14	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig3141libr"
1961	"3rd s."	15	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig3151lib"
1961	"3rd s."	15	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3151libr"
1962	"3rd s."	16	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3161libr"
1962	"3rd s."	16	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/stream/catalogofcopyrig3161lib"
1963	"3rd s."	17	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig31711lib"
1963	"3rd s."	17	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/stream/catalogofcopyrig31712libr"
1964	"3rd s."	18	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/details/catalogofcopyrig31811libr"
1964	"3rd s."	18	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/details/catalogofcopyrig31812libr"
1965	"3rd s."	19	"1"	""	"1"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	""	"https://archive.org/details/catalogofcopy19653191lib"
1965	"3rd s."	19	"1"	""	"2"	"Books and Pamphlets, Including Serials and Contributions to Periodicals"	"Some corrections"	"https://archive.org/details/catalogofcopy19653191libr"
1966	"3rd"	20	"1"	""	"1"	"Books"	""	"https://archive.org/details/catalogofco1966320112lib"
1966	"3rd"	20	"1"	""	"2"	"Books"	""	"https://archive.org/details/catalogofco1966320112libr"
